instance_id,source_file,source_path,mode,Reason,n
B_k9_2od_x1.0,reason_counts.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\reason_counts.csv,both,OK,3460
B_k9_2od_x1.0,reason_counts.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\reason_counts.csv,init,OK,3460
B_k9_2od_x1.0,reason_counts.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\reason_counts.csv,mutation,OK,3460
B_k9_2od_x1.0,reason_counts.csv,D:\PSPS\runs_B_k9_2od_x1.0\analysis\tables\reason_counts.csv,none,OK,3460
B_k9_2od_x1.2,reason_counts.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\reason_counts.csv,both,OK,3460
B_k9_2od_x1.2,reason_counts.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\reason_counts.csv,init,OK,3460
B_k9_2od_x1.2,reason_counts.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\reason_counts.csv,mutation,OK,3460
B_k9_2od_x1.2,reason_counts.csv,D:\PSPS\runs_B_k9_2od_x1.2\analysis\tables\reason_counts.csv,none,OK,3460
B_k9_3od_x0.8,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\reason_counts.csv,both,OK,3460
B_k9_3od_x0.8,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\reason_counts.csv,init,OK,3460
B_k9_3od_x0.8,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\reason_counts.csv,mutation,OK,3460
B_k9_3od_x0.8,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x0.8\analysis\tables\reason_counts.csv,none,OK,3460
B_k9_3od_x1.0,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\reason_counts.csv,both,OK,3460
B_k9_3od_x1.0,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\reason_counts.csv,init,OK,3460
B_k9_3od_x1.0,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\reason_counts.csv,mutation,OK,3460
B_k9_3od_x1.0,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x1.0\analysis\tables\reason_counts.csv,none,OK,3460
B_k9_3od_x1.2,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\reason_counts.csv,both,OK,3460
B_k9_3od_x1.2,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\reason_counts.csv,init,OK,3460
B_k9_3od_x1.2,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\reason_counts.csv,mutation,OK,3460
B_k9_3od_x1.2,reason_counts.csv,D:\PSPS\runs_B_k9_3od_x1.2\analysis\tables\reason_counts.csv,none,OK,3460
C_k9_1od_x0.8,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\reason_counts.csv,both,OK,3460
C_k9_1od_x0.8,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\reason_counts.csv,init,OK,3460
C_k9_1od_x0.8,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\reason_counts.csv,mutation,OK,3460
C_k9_1od_x0.8,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x0.8\analysis\tables\reason_counts.csv,none,OK,3460
C_k9_1od_x1.0,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\reason_counts.csv,both,OK,3460
C_k9_1od_x1.0,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\reason_counts.csv,init,OK,3460
C_k9_1od_x1.0,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\reason_counts.csv,mutation,OK,3460
C_k9_1od_x1.0,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x1.0\analysis\tables\reason_counts.csv,none,OK,3460
C_k9_1od_x1.2,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\reason_counts.csv,both,OK,3460
C_k9_1od_x1.2,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\reason_counts.csv,init,OK,3459
C_k9_1od_x1.2,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\reason_counts.csv,init,NO_TRIPINFO,1
C_k9_1od_x1.2,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\reason_counts.csv,mutation,OK,3460
C_k9_1od_x1.2,reason_counts.csv,D:\PSPS\runs_C_k9_1od_x1.2\analysis\tables\reason_counts.csv,none,OK,3460
C_k9_2od_x0.8,reason_counts.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\reason_counts.csv,both,OK,3460
C_k9_2od_x0.8,reason_counts.csv,D:\PSPS\runs_C_k9_2od_x0.8\analysis\tables\reason_counts.csv,init,OK,3460
